,site,crop,pasture,forested,grassland,wetland,urban_developed,water,total
1,Nat-ag 1,0,0.000978474,0.664383562,0.001956947,0.272015656,0.060665362,0,919800
2,Nat-ag 3,0,0,0.722011385,0,0.265654649,0.011385199,0.000948767,948600
3,Nat-ag 6,0,0.028708134,0.784688995,0,0.149282297,0.034449761,0.002870813,940500
4,Nat-ag 2,0,0,0.674012856,0,0.276400367,0.044995409,0.004591368,980100
5,Nat-ag 5 old,0,0,0.716768916,0,0.237218814,0.04601227,0,880200
6,Nat-ag 5,0,0.156143345,0.537542662,0,0.250853242,0.055460751,0,1054800
7,Half 6,0,0.122529644,0.807312253,0,0.048418972,0.020750988,0.000988142,910800
8,Nat-ag 7,0,0.031683168,0.698019802,0,0.227722772,0.042574257,0,909000
9,Ag-nat 9,0.253746254,0.096903097,0.433566434,0.173826174,0.022977023,0.018981019,0,900900
10,Half 9,0.127127127,0.195195195,0.611611612,0,0.034034034,0.032032032,0,899100
11,Half 7,0.060073937,0.070240296,0.751386322,0.006469501,0.076709797,0.025878004,0.009242144,973800
12,Ag-nat 2,0.400355872,0,0.181494662,0,0.346085409,0.066725979,0.005338078,1011600
13,Ag-nat 5,0.120229008,0.062022901,0.448473282,0.021946565,0.270038168,0.073473282,0.003816794,943200
14,Nat-ag 4,0.017475728,0.02038835,0.451456311,0,0.455339806,0.055339806,0,927000
15,Ag 6,0.067873303,0.278733032,0.19638009,0,0.135746606,0.321266968,0,994500
16,Half 10,0.012181617,0.200442968,0.602436323,0.052048726,0.007751938,0.125138427,0,812700
17,Nat-ag 9,0,0.015274949,0.713849287,0,0.045824847,0.213849287,0.011201629,883800
18,Ag-nat 7,0.188588008,0.422630561,0.281431335,0,0.021276596,0.086073501,0,930600
19,Half 5,0.310629515,0.04127967,0.616099071,0,0.019607843,0.008255934,0.004127967,872100
20,Half 2,0.057401813,0.164149043,0.72306143,0,0.009063444,0.04632427,0,893700
21,Ag-nat 3,0.376310273,0.140461216,0.42033543,0,0,0.062893082,0,858600
22,Ag 3,0.325791855,0.38280543,0.130316742,0,0.011764706,0.11040724,0.038914027,994500
23,Ag 5,0,0.333683106,0.566631689,0,0.041972718,0.057712487,0,857700
24,Ag-nat 8,0,0.386018237,0.537993921,0.001013171,0.007092199,0.067882472,0,888300
25,Nat-ag 8,0,0.005065856,0.659574468,0,0.037487335,0.274569402,0.023302938,888300
26,Nat QC 7,0,0.001917546,0.994247363,0,0.000958773,0,0.002876318,938700
27,Nat QC 6,0,0,0.996887967,0,0,0,0.003112033,867600
28,Nat QC 4,0,0,0.994877049,0,0.004098361,0.00102459,0,878400
29,Nat QC 3,0,0,0.954157783,0,0.010660981,0.035181237,0,844200
30,Nat QC 1 alt,0,0,0.983315954,0,0.010427529,0,0.006256517,863100
31,Nat QC 1 old,0,0,0.995776135,0,0.003167899,0,0.001055966,852300
32,Nat QC 9,0,0.204747774,0.692383778,0,0.006923838,0.095944609,0,909900
